id,工作部门,薪资范围,公司基本信息,岗位要求,工作福利,是否接受远程办公,公司是否有标志,工作类型,经验要求,学历要求,公司行业类别,公司地点,是否为虚假招聘信息
345,其他,5000-50000,积极,积极,中立,否,是,全职,助理,学士,互联网,美国,0
346,未知,未知,积极,积极,积极,否,是,全职,未知,未知,未知,美国,0
347,未知,未知,积极,积极,积极,否,是,全职,助理,未知,服务,美国,0
348,未知,未知,积极,积极,积极,否,是,全职,未知,未知,未知,美国,0
349,未知,未知,积极,积极,积极,否,是,全职,中高级,硕士,计算机,英国,0
350,服务,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
351,服务,高于50000,积极,积极,积极,否,是,全职,不适用,学士,服务,新西兰,0
352,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,英国,0
353,未知,未知,积极,未知,积极,否,是,兼职,未知,未知,健康,美国,0
354,未知,低于5000,积极,积极,积极,否,是,全职,入门级,学士,计算机,其他,0
355,未知,未知,积极,积极,积极,否,是,兼职,不适用,不确定,其他,英国,0
356,营销,未知,积极,积极,积极,否,是,其他,入门级,学士,营销,美国,0
357,未知,未知,积极,积极,积极,否,是,全职,执行级,学士,其他,美国,0
358,其他,未知,积极,积极,未知,否,是,全职,未知,未知,其他,美国,0
359,其他,未知,积极,积极,积极,否,是,其他,入门级,不确定,其他,德国,0
360,其他,未知,积极,积极,未知,否,否,全职,不适用,未知,服务,英国,0
361,未知,未知,积极,积极,积极,否,是,全职,不适用,高中或同等学历,其他,英国,0
362,未知,未知,积极,积极,积极,否,是,全职,中高级,未知,计算机,美国,0
363,未知,低于5000,积极,积极,积极,否,是,全职,助理,其他,其他,美国,0
364,营销,未知,积极,积极,积极,否,是,全职,入门级,学士,未知,德国,0
365,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,未知,美国,1
366,其他,未知,积极,积极,积极,否,是,全职,未知,未知,未知,英国,0
367,未知,未知,积极,积极,积极,否,是,全职,主管,未知,营销,美国,0
368,未知,未知,积极,积极,积极,否,是,全职,助理,其他,健康,美国,0
369,未知,低于5000,积极,积极,积极,否,是,兼职,实习,其他,其他,新西兰,0
370,其他,低于5000,积极,积极,积极,否,是,全职,中高级,学士,互联网,英国,0
371,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,其他,美国,0
372,未知,未知,积极,积极,中立,否,是,未知,未知,未知,未知,希腊,0
373,未知,未知,积极,积极,未知,否,是,全职,入门级,未知,其他,其他,0
374,营销,未知,积极,积极,积极,否,是,全职,中高级,学士,其他,其他,0
375,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,新西兰,0
376,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,希腊,0
377,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
378,未知,未知,积极,未知,积极,否,是,全职,中高级,学士,健康,美国,0
379,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,其他,美国,0
380,工程,未知,积极,积极,积极,否,是,全职,助理,不确定,营销,英国,0
381,其他,未知,中立,中立,积极,否,是,全职,中高级,硕士,服务,美国,0
382,工程,未知,积极,积极,积极,否,是,全职,入门级,学士,服务,英国,0
383,未知,低于5000,积极,积极,积极,否,是,全职,中高级,学士,服务,美国,0
384,其他,未知,积极,中立,积极,否,是,未知,未知,未知,未知,希腊,0
385,未知,未知,积极,积极,积极,否,是,合同制,未知,未知,未知,美国,0
386,未知,低于5000,积极,中立,积极,否,是,全职,助理,学士,服务,美国,0
387,未知,未知,中立,积极,积极,否,是,全职,入门级,学士,营销,美国,0
388,未知,未知,积极,积极,积极,否,是,兼职,助理,高中或同等学历,计算机,美国,0
389,未知,未知,积极,积极,积极,否,是,全职,中高级,高中或同等学历,房地产,美国,0
390,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,美国,0
391,其他,未知,积极,积极,积极,否,是,全职,助理,未知,未知,英国,0
392,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
393,未知,未知,积极,积极,积极,否,是,全职,未知,其他,未知,美国,0
394,销售,未知,积极,积极,积极,否,是,全职,助理,学士,电信,其他,0
395,服务,未知,积极,积极,积极,否,是,全职,未知,未知,其他,美国,0
396,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,石油,美国,0
397,未知,未知,积极,未知,中立,否,是,未知,未知,未知,未知,德国,0
398,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,美国,0
399,未知,未知,中立,积极,消极,否,是,全职,助理,学士,媒体,美国,0
400,未知,低于5000,积极,未知,中立,否,是,兼职,未知,不确定,营销,美国,0
401,工程,未知,积极,未知,未知,否,是,全职,未知,未知,未知,英国,0
402,未知,未知,消极,消极,积极,否,是,合同制,未知,未知,服务,美国,0
403,其他,未知,积极,积极,未知,否,是,全职,不适用,不确定,其他,希腊,0
404,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
405,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,希腊,0
406,销售,未知,积极,积极,未知,否,是,未知,未知,未知,未知,美国,0
407,其他,未知,积极,积极,积极,否,是,全职,不适用,不确定,媒体,非洲联盟,0
408,未知,未知,积极,积极,未知,否,否,合同制,中高级,未知,服务,美国,0
409,销售,低于5000,积极,积极,未知,否,否,全职,助理,高中或同等学历,计算机,美国,0
410,其他,未知,积极,积极,积极,是,是,未知,未知,未知,未知,美国,0
411,其他,未知,积极,积极,积极,否,是,全职,入门级,未知,服务,德国,0
412,其他,未知,积极,积极,中立,否,是,全职,中高级,未知,互联网,英国,0
413,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,英国,0
414,未知,未知,积极,未知,积极,否,否,全职,未知,未知,未知,美国,0
415,未知,未知,积极,中立,积极,否,是,合同制,中高级,学士,服务,美国,0
416,未知,未知,积极,积极,积极,否,是,未知,不适用,高中或同等学历,其他,英国,0
417,其他,未知,积极,积极,积极,否,是,全职,中高级,不确定,营销,希腊,0
418,其他,未知,积极,未知,积极,否,是,未知,主管,未知,未知,美国,0
419,其他,未知,积极,积极,积极,否,是,全职,未知,未知,未知,美国,0
420,未知,未知,积极,积极,中立,否,是,全职,未知,未知,服务,英国,0
421,其他,未知,中立,积极,积极,否,是,全职,助理,学士,服务,美国,0
422,未知,未知,积极,未知,积极,否,是,全职,入门级,未知,其他,美国,0
423,其他,未知,中立,未知,积极,否,是,未知,未知,未知,休闲,未知,0
424,其他,低于5000,积极,积极,积极,否,是,全职,助理,未知,其他,英国,0
425,未知,低于5000,积极,未知,未知,否,否,全职,入门级,学士,计算机,美国,0
426,工程,未知,积极,积极,中立,否,是,全职,中高级,学士,计算机,美国,0
427,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,英国,0
428,未知,未知,中立,积极,积极,否,是,全职,助理,未知,其他,美国,0
429,其他,未知,积极,积极,中立,否,是,全职,中高级,学士,服务,美国,0
430,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,其他,0
431,其他,未知,积极,积极,积极,否,是,全职,助理,未知,未知,其他,0
432,未知,未知,积极,积极,积极,否,是,全职,助理,硕士,电信,其他,0
433,其他,未知,积极,积极,中立,否,是,全职,助理,学士,其他,英国,0
434,未知,未知,积极,未知,未知,否,否,全职,中高级,未知,服务,美国,0
435,其他,未知,积极,积极,积极,否,是,全职,助理,不确定,其他,英国,0
436,未知,未知,积极,积极,积极,否,是,全职,中高级,不确定,服务,美国,0
437,未知,未知,积极,积极,积极,否,是,全职,中高级,未知,营销,美国,0
438,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,美国,0
439,未知,未知,积极,积极,积极,否,是,全职,中高级,未知,服务,其他,0
440,未知,未知,中立,未知,积极,否,是,全职,助理,未知,其他,美国,0
441,工程,未知,积极,积极,积极,否,是,全职,助理,学士,互联网,美国,0
442,其他,未知,积极,积极,积极,否,是,全职,中高级,未知,计算机,美国,0
443,其他,未知,积极,积极,积极,否,是,全职,助理,未知,服务,美国,0
444,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,美国,0
445,未知,高于50000,积极,积极,积极,否,是,全职,不适用,未知,互联网,美国,0
446,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
447,未知,未知,积极,积极,未知,否,否,全职,未知,未知,房地产,美国,0
448,未知,未知,积极,中立,消极,否,是,全职,未知,未知,服务,美国,0
449,未知,未知,积极,积极,积极,否,是,合同制,未知,未知,服务,美国,0
450,其他,未知,积极,积极,未知,否,否,全职,未知,未知,其他,美国,0
451,其他,未知,积极,积极,积极,否,是,合同制,中高级,不确定,计算机,美国,0
452,其他,未知,积极,积极,积极,否,是,全职,助理,学士,其他,希腊,0
453,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
454,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,美国,0
455,未知,未知,积极,积极,积极,否,是,全职,主管,学士,服务,美国,0
456,未知,未知,积极,积极,未知,否,否,全职,未知,未知,健康,美国,1
457,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
458,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,其他,1
459,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,0
460,未知,高于50000,积极,积极,积极,否,是,兼职,助理,学士,休闲,希腊,0
461,其他,未知,积极,积极,积极,否,是,全职,不适用,不确定,休闲,英国,0
462,未知,未知,中立,未知,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
463,未知,未知,中立,未知,未知,否,否,兼职,未知,未知,未知,美国,1
464,未知,未知,中立,未知,未知,否,否,全职,未知,未知,健康,美国,1
465,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
466,其他,未知,中立,积极,未知,否,否,未知,未知,未知,未知,其他,1
467,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
468,未知,未知,积极,未知,未知,否,否,全职,入门级,未知,会计,美国,1
469,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
470,文员,低于5000,积极,积极,未知,否,否,全职,不适用,高中或同等学历,其他,美国,1
471,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
472,未知,未知,积极,未知,未知,否,否,全职,入门级,高中或同等学历,会计,美国,1
473,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,非洲联盟,1
474,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
475,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
476,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
477,未知,未知,中立,积极,未知,否,否,全职,入门级,其他,其他,美国,1
478,未知,未知,积极,未知,未知,否,否,全职,入门级,不确定,其他,美国,1
479,未知,未知,积极,未知,未知,否,否,全职,入门级,未知,会计,美国,1
480,其他,低于5000,积极,积极,未知,否,否,其他,入门级,高中或同等学历,会计,美国,1
481,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
482,未知,未知,中立,未知,未知,否,否,全职,不适用,未知,其他,其他,1
483,销售,未知,中立,未知,未知,否,否,未知,未知,未知,未知,美国,1
484,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
485,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
486,未知,未知,积极,积极,未知,否,否,兼职,不适用,不确定,营销,非洲联盟,1
487,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
488,销售,高于50000,积极,积极,未知,否,否,全职,中高级,不确定,会计,美国,1
489,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
490,未知,未知,积极,未知,未知,是,否,全职,入门级,不确定,会计,美国,1
491,未知,未知,中立,未知,未知,否,否,全职,未知,未知,健康,美国,1
492,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,其他,美国,1
493,未知,低于5000,中立,积极,未知,是,否,全职,入门级,高中或同等学历,其他,美国,1
494,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
495,服务,未知,积极,未知,消极,否,是,合同制,不适用,不确定,电信,美国,1
496,其他,未知,积极,积极,未知,否,否,全职,中高级,其他,其他,美国,1
497,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
498,未知,未知,中立,未知,未知,否,否,全职,未知,未知,健康,美国,1
499,未知,未知,积极,未知,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
500,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,休闲,美国,1
501,未知,未知,消极,积极,未知,否,否,兼职,未知,未知,未知,美国,1
502,其他,未知,积极,积极,积极,是,是,未知,未知,未知,未知,美国,1
503,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
504,服务,未知,中立,未知,未知,否,否,全职,不适用,不确定,服务,美国,1
505,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
506,未知,未知,积极,积极,未知,否,是,未知,未知,未知,未知,美国,1
507,未知,未知,中立,积极,积极,否,是,未知,未知,未知,未知,美国,1
508,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
509,未知,未知,积极,中立,未知,否,否,兼职,不适用,不确定,其他,美国,1
510,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
511,服务,未知,积极,未知,未知,否,否,全职,未知,未知,未知,美国,1
512,文员,低于5000,积极,积极,未知,否,否,全职,不适用,高中或同等学历,其他,美国,1
513,未知,未知,中立,未知,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
514,未知,未知,积极,积极,未知,否,否,兼职,未知,未知,其他,非洲联盟,1
515,其他,未知,中立,积极,未知,否,否,全职,不适用,高中或同等学历,健康,美国,1
516,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
517,服务,未知,消极,积极,未知,否,否,未知,未知,未知,未知,美国,1
518,其他,未知,中立,中立,未知,否,否,未知,未知,未知,未知,美国,1
519,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
520,文员,低于5000,积极,积极,未知,否,否,全职,不适用,高中或同等学历,其他,美国,1
521,未知,高于50000,积极,积极,未知,否,否,全职,入门级,高中或同等学历,服务,美国,1
522,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
523,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
524,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
525,未知,未知,积极,积极,未知,否,否,全职,未知,未知,服务,美国,1
526,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
527,未知,未知,积极,积极,未知,否,否,全职,未知,未知,未知,美国,1
528,销售,未知,积极,中立,积极,否,否,未知,未知,未知,未知,美国,1
529,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,其他,美国,1
530,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,非洲联盟,1
531,未知,未知,积极,积极,未知,否,否,全职,未知,高中或同等学历,其他,美国,1
532,未知,高于50000,积极,积极,未知,否,否,其他,不适用,不确定,营销,美国,1
533,销售,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,1
534,未知,未知,积极,积极,未知,否,否,全职,未知,未知,石油,美国,1
535,其他,低于5000,积极,积极,未知,否,否,全职,入门级,学士,电信,美国,1
536,未知,低于5000,积极,积极,未知,否,否,兼职,未知,未知,会计,非洲联盟,1
537,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
538,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
539,未知,未知,中立,积极,未知,否,否,未知,未知,未知,未知,其他,1
540,未知,未知,积极,未知,未知,否,否,全职,入门级,未知,健康,美国,1
541,未知,未知,积极,未知,未知,否,否,全职,未知,未知,营销,美国,1
542,未知,未知,积极,积极,未知,否,否,全职,入门级,高中或同等学历,会计,美国,1
543,未知,低于5000,积极,中立,未知,否,否,全职,中高级,学士,电信,美国,1
544,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
545,其他,低于5000,中立,消极,未知,否,否,全职,入门级,高中或同等学历,其他,其他,1
546,其他,未知,积极,消极,未知,是,否,未知,未知,未知,未知,美国,1
547,未知,未知,积极,积极,未知,否,否,全职,未知,未知,未知,美国,1
548,未知,未知,消极,积极,未知,否,否,合同制,未知,未知,房地产,美国,1
549,其他,低于5000,积极,积极,未知,否,否,全职,助理,其他,服务,美国,1
550,未知,低于5000,积极,未知,未知,否,否,全职,主管,学士,服务,美国,1
551,未知,未知,积极,未知,未知,否,否,全职,未知,未知,服务,美国,1
552,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
553,其他,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
554,未知,未知,消极,积极,未知,否,否,合同制,未知,未知,房地产,美国,1
555,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,服务,英国,1
556,销售,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,1
557,未知,未知,中立,未知,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
558,其他,低于5000,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
559,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,美国,1
560,未知,未知,积极,积极,未知,否,否,全职,未知,未知,休闲,美国,1
561,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
562,未知,未知,积极,积极,未知,否,否,全职,未知,未知,未知,美国,1
563,其他,未知,中立,积极,未知,否,否,未知,未知,未知,未知,其他,1
564,其他,未知,积极,积极,积极,是,是,兼职,未知,高中或同等学历,电信,美国,1
565,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,未知,1
566,未知,低于5000,中立,积极,未知,否,否,兼职,不适用,不确定,营销,美国,1
567,未知,未知,积极,未知,未知,否,否,全职,入门级,未知,健康,美国,1
568,未知,未知,积极,积极,未知,否,否,全职,未知,未知,健康,美国,1
569,未知,低于5000,消极,中立,未知,否,否,合同制,实习,未知,服务,美国,1
570,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
571,文员,5000-50000,积极,积极,未知,否,否,全职,不适用,高中或同等学历,其他,美国,1
572,未知,未知,积极,积极,未知,否,否,全职,未知,未知,健康,美国,1
573,其他,未知,中立,积极,积极,否,是,全职,中高级,其他,其他,美国,1
574,未知,未知,积极,积极,未知,否,否,全职,不适用,不确定,会计,美国,1
575,未知,未知,积极,积极,未知,否,否,全职,未知,未知,未知,美国,1
576,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
577,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
578,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
579,未知,低于5000,积极,消极,未知,否,否,全职,入门级,高中或同等学历,电信,美国,1
580,其他,低于5000,积极,中立,未知,否,否,兼职,入门级,不确定,服务,美国,1
581,未知,高于50000,积极,积极,未知,否,否,全职,助理,其他,其他,英国,1
582,销售,低于5000,积极,中立,积极,是,是,全职,入门级,高中或同等学历,房地产,美国,1
583,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
584,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
585,其他,低于5000,积极,积极,积极,否,是,全职,入门级,高中或同等学历,服务,美国,1
586,其他,未知,中立,积极,未知,否,否,未知,未知,未知,未知,其他,1
587,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
588,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
589,未知,低于5000,积极,中立,未知,否,否,全职,入门级,其他,石油,英国,1
590,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
591,未知,高于50000,积极,积极,未知,否,否,全职,不适用,不确定,营销,美国,1
592,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
593,未知,低于5000,积极,积极,未知,否,否,兼职,未知,未知,会计,非洲联盟,1
594,未知,低于5000,积极,积极,积极,否,是,全职,入门级,高中或同等学历,服务,美国,1
595,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
596,未知,未知,中立,消极,未知,否,否,未知,未知,未知,未知,美国,1
597,其他,高于50000,积极,积极,未知,否,否,全职,中高级,硕士,其他,美国,1
598,其他,未知,积极,积极,未知,否,是,未知,未知,未知,未知,美国,1
599,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
600,未知,低于5000,积极,积极,未知,否,否,兼职,未知,未知,会计,美国,1
601,其他,低于5000,积极,积极,未知,否,否,全职,入门级,未知,会计,美国,1
602,未知,未知,积极,积极,积极,否,否,合同制,入门级,不确定,其他,美国,1
603,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
604,未知,未知,积极,积极,未知,否,否,全职,不适用,高中或同等学历,其他,美国,1
605,其他,低于5000,积极,积极,未知,否,否,全职,入门级,不确定,会计,美国,1
606,其他,低于5000,中立,积极,未知,否,否,全职,入门级,不确定,会计,美国,1
607,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
608,未知,未知,积极,积极,未知,否,否,全职,未知,未知,未知,美国,1
609,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
610,未知,未知,积极,未知,未知,否,否,全职,入门级,未知,健康,美国,1
611,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
612,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
613,未知,未知,积极,积极,未知,否,否,全职,未知,未知,未知,美国,1
614,未知,未知,积极,积极,未知,否,否,全职,未知,未知,休闲,美国,1
615,未知,未知,积极,积极,未知,否,否,全职,不适用,未知,未知,美国,1
616,未知,高于50000,积极,积极,未知,否,否,其他,未知,不确定,营销,美国,1
617,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
618,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
619,未知,未知,积极,积极,未知,是,否,未知,未知,未知,未知,美国,1
620,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
621,销售,高于50000,积极,积极,未知,否,否,合同制,助理,高中或同等学历,营销,美国,1
622,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
623,未知,未知,积极,积极,未知,否,否,全职,助理,高中或同等学历,服务,美国,1
624,未知,未知,消极,积极,未知,否,否,合同制,未知,未知,房地产,美国,1
625,其他,低于5000,积极,积极,未知,否,否,其他,入门级,高中或同等学历,会计,美国,1
626,其他,低于5000,积极,积极,未知,否,否,全职,未知,不确定,会计,美国,1
627,未知,低于5000,积极,积极,未知,否,否,全职,入门级,高中或同等学历,其他,美国,1
628,未知,未知,积极,积极,未知,是,否,未知,未知,未知,未知,美国,1
629,未知,未知,积极,消极,未知,否,否,全职,入门级,高中或同等学历,会计,美国,1
630,其他,低于5000,中立,消极,未知,是,否,全职,执行级,硕士,服务,美国,1
631,其他,未知,积极,积极,未知,否,是,其他,实习,高中或同等学历,其他,美国,1
632,销售,未知,积极,未知,未知,否,是,全职,不适用,高中或同等学历,其他,美国,1
633,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
634,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
635,未知,低于5000,积极,积极,未知,否,否,全职,入门级,高中或同等学历,服务,美国,1
636,服务,低于5000,积极,积极,积极,是,是,全职,入门级,高中或同等学历,房地产,美国,1
637,未知,未知,积极,未知,未知,否,否,全职,未知,未知,会计,美国,1
638,服务,未知,积极,未知,消极,否,是,未知,未知,未知,未知,美国,1
639,未知,未知,积极,积极,未知,否,否,全职,不适用,高中或同等学历,服务,美国,1
640,未知,未知,积极,积极,积极,否,是,全职,未知,高中或同等学历,服务,美国,1
641,未知,未知,积极,积极,未知,否,是,其他,实习,高中或同等学历,其他,美国,1
642,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
643,未知,低于5000,积极,积极,未知,否,否,兼职,未知,高中或同等学历,会计,非洲联盟,1
644,未知,未知,积极,积极,未知,否,否,兼职,不适用,高中或同等学历,营销,美国,1
645,其他,低于5000,积极,积极,未知,否,否,兼职,入门级,高中或同等学历,房地产,美国,1
646,其他,未知,积极,积极,未知,否,是,未知,未知,未知,未知,美国,1
647,未知,未知,积极,未知,未知,否,否,全职,入门级,不确定,健康,美国,1
648,未知,未知,积极,积极,未知,否,否,全职,未知,未知,休闲,美国,1
649,其他,未知,积极,积极,未知,是,否,未知,未知,未知,未知,美国,1
650,未知,高于50000,积极,积极,未知,否,否,全职,不适用,不确定,营销,美国,1
651,未知,高于50000,积极,积极,积极,否,否,全职,入门级,高中或同等学历,其他,美国,1
652,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,未知,1
653,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,会计,美国,1
654,文员,未知,积极,未知,未知,否,否,临时,入门级,不确定,电信,美国,1
655,服务,低于5000,积极,积极,积极,是,是,全职,入门级,高中或同等学历,房地产,美国,1
656,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
657,未知,未知,积极,积极,未知,否,否,全职,未知,未知,健康,美国,1
658,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
659,其他,低于5000,积极,积极,未知,否,否,全职,入门级,未知,电信,美国,1
660,其他,未知,积极,积极,积极,否,是,全职,入门级,高中或同等学历,会计,美国,1
661,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
662,未知,未知,中立,积极,未知,否,否,兼职,不适用,未知,未知,美国,1
663,未知,高于50000,积极,积极,积极,否,是,全职,入门级,高中或同等学历,未知,美国,1
664,未知,未知,积极,积极,未知,否,否,其他,不适用,不确定,营销,非洲联盟,1
665,未知,低于5000,积极,未知,未知,否,否,全职,入门级,其他,会计,美国,1
666,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
667,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,计算机,美国,1
668,未知,未知,积极,积极,积极,否,是,全职,入门级,不确定,媒体,美国,1
669,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,美国,1
670,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
671,其他,未知,中立,积极,未知,否,否,未知,未知,未知,未知,其他,1
672,未知,未知,积极,积极,未知,否,否,全职,中高级,学士,其他,其他,1
673,未知,低于5000,积极,积极,未知,否,否,兼职,入门级,其他,会计,美国,1
674,未知,未知,消极,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
675,其他,低于5000,积极,积极,未知,否,否,全职,入门级,未知,会计,美国,1
676,未知,高于50000,积极,积极,未知,否,否,全职,不适用,高中或同等学历,服务,美国,1
677,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
678,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
679,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
680,未知,未知,中立,积极,积极,否,是,未知,未知,未知,未知,未知,1
681,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,石油,美国,1
682,未知,未知,积极,积极,未知,否,否,全职,助理,未知,会计,美国,1
683,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
684,未知,低于5000,积极,积极,未知,否,否,全职,助理,学士,石油,美国,1
685,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
686,其他,未知,中立,积极,未知,否,否,未知,未知,未知,未知,英国,1
687,未知,高于50000,积极,积极,未知,否,否,合同制,执行级,未知,其他,其他,1
688,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
689,未知,低于5000,积极,积极,未知,是,否,合同制,入门级,高中或同等学历,服务,非洲联盟,1
